Site,d13C,d15N,Catchment
U14,-27.89872022,6.992134055,Upper Tweed
G04,-27.89392278,8.3241595,Gala
G04,-27.8838708,8.511099363,Gala
U27,-27.8793715,10.53966572,Upper Tweed
G06,-27.86198351,7.448046528,Gala
U09,-27.84957472,6.902945364,Upper Tweed
G04,-27.84560472,8.206249444,Gala
U14,-27.82670427,7.001412149,Upper Tweed
U19,-27.78740248,10.27984967,Upper Tweed
U09,-27.77492134,6.996509069,Upper Tweed
U13,-27.76202755,7.790702159,Upper Tweed
U32,-27.75236163,6.671495307,Upper Tweed
G06,-27.75127568,8.248380549,Gala
U09,-27.74691101,7.746437632,Upper Tweed
G06,-27.70238357,7.564274046,Gala
U33,-27.68815732,8.14679043,Upper Tweed
U32,-27.66994754,5.830508947,Upper Tweed
U27,-27.66713558,10.03063161,Upper Tweed
G04,-27.66210233,8.384215665,Gala
U16,-27.66188531,7.498745686,Upper Tweed
U25,-27.64393365,8.265281618,Upper Tweed
U11,-27.63765323,6.639428674,Upper Tweed
U14,-27.62111155,6.276718051,Upper Tweed
G03,-27.6189238,10.37095692,Gala
G04,-27.61656482,9.509089431,Gala
U33,-27.61358777,7.75832052,Upper Tweed
U32,-27.60864185,5.915592237,Upper Tweed
U14,-27.59468125,7.03896373,Upper Tweed
U09,-27.57965088,7.050953252,Upper Tweed
G04,-27.57855682,8.333741625,Gala
U25,-27.55454824,7.675527851,Upper Tweed
U27,-27.5380632,10.49494763,Upper Tweed
U27,-27.50338903,10.37633771,Upper Tweed
G08,-27.45833485,7.942344309,Gala
G08,-27.45637724,7.989973274,Gala
G12,-27.45488583,12.43425053,Gala
G08,-27.44895507,7.746831947,Gala
U27,-27.44250214,10.22514069,Upper Tweed
G08,-27.39148872,7.721032766,Gala
U33,-27.38962555,7.620378403,Upper Tweed
G20,-27.38256472,8.603535885,Gala
G12,-27.38254418,12.03660397,Gala
U32,-27.38120671,6.232098957,Upper Tweed
G21,-27.36536022,8.636671299,Gala
U14,-27.36334099,6.926920124,Upper Tweed
U25,-27.31271117,8.226566609,Upper Tweed
U25,-27.30497607,7.933743177,Upper Tweed
G03,-27.29221254,9.455286514,Gala
U27,-27.29157502,10.37789133,Upper Tweed
G06,-27.28488061,8.122561536,Gala
U32,-27.27788941,6.408797611,Upper Tweed
G21,-27.25678802,10.06221189,Gala
G06,-27.23906513,9.08908174,Gala
G08,-27.19418551,7.632938797,Gala
U25,-27.15497505,7.644485964,Upper Tweed
U14,-27.15442056,7.053392016,Upper Tweed
U32,-27.14479108,5.99852001,Upper Tweed
G20,-27.13101253,7.934692942,Gala
G06,-27.11056706,9.452006167,Gala
G21,-27.08317056,8.78258689,Gala
U32,-27.02166632,5.734377146,Upper Tweed
U16,-27.01859332,7.588490598,Upper Tweed
G08,-27.01329066,7.932034113,Gala
G21,-27.00998277,8.577270949,Gala
G04,-26.97806376,8.305695151,Gala
U25,-26.96499985,7.529093207,Upper Tweed
G08,-26.9372852,8.146152026,Gala
U27,-26.90103116,10.30525243,Upper Tweed
G21,-26.88126287,8.981576495,Gala
U16,-26.85949572,6.683220758,Upper Tweed
G21,-26.85068015,8.741991655,Gala
U16,-26.846935,8.426597065,Upper Tweed
G22,-26.84438226,9.66365037,Gala
G08,-26.83709178,8.035040373,Gala
G20,-26.83314385,8.688057658,Gala
U33,-26.82232036,8.571433189,Upper Tweed
G20,-26.80060541,7.941798007,Gala
G08,-26.78683369,7.807320908,Gala
G12,-26.75933505,7.24079778,Gala
U32,-26.75282074,5.929951223,Upper Tweed
U12,-26.74959634,6.438357193,Upper Tweed
G08,-26.72551987,8.465412995,Gala
G08,-26.70186761,8.449821138,Gala
U16,-26.68737251,8.199424524,Upper Tweed
G08,-26.67283124,7.809795602,Gala
